CITA;AUTOR
¿sabes cómo se llaman los habitantes de Barcelona? Hombre. pues todos no.;VERNE
¿Qué le dice la foca a su madre? I love you mother foca;VERNE
Doctor, tengo todo el cuerpo cubierto de pelo. ¿Qué padezco?, Padece uzté un ozito.;VERNE
Gol. ¿De quién? Di María. María, pero quién ha marcado el gol.;LLARRY
¿Cuál es el colmo de un futbolista?. Que le hagan la pelota;ETAPA
¿Por qué se suicidó el libro de matemáticas?. Porque tenía muchos problemas por resolver;ETAPA
Buenos días, ¿tienen libros sobre el cansancio? Sí, pero ahora mismo están todos agotados;ETAPA
Hombre, Juan, cómo has cambiado. Yo no soy Juan. Más a mi favor;SECTOVIRAL
Ha dicho el doctor que lo mejor para curarme el dolor de garganta es un striptease. Un Strepsils. Joder, Paqui, le quitas la ilusión a cualquiera…;SECTOVIRAL
Un placer venir a su mutua. Es mutuo. Un placer venir a su mutuo;SECTOVIRAL
